"Variable not initialized before use","Using an uninitialized variable may lead to undefined results.","error","Variable 'keep_message' is not initialized.","/protocols/nogaim.c","835","11","835","22", "FALSE; This uninitialized var is int type."
The variable [[""global""|""relative:///tests/check.c:10:10:10:15""]] is used in this function but may not be initialized when it is called., "FALSE; This uninitialized var is int type."
"Global variable may be used before initialization","Using an uninitialized variable may lead to undefined results.","warning","The variable [[""global""|""relative:///tests/check.c:10:10:10:15""]] is used in this function but may not be initialized when it is called., "FALSE; This uninitialized var is int type."
"Variable not initialized before use","Using an uninitialized variable may lead to undefined results.","error","Variable 'bud' is not initialized.","/protocols/jabber/iq.c","735","4","735","6", "FALSE; This method is used to initialize the variable."
"Variable not initialized before use","Using an uninitialized variable may lead to undefined results.","error","Variable 'tgt_jid' is not initialized.","/protocols/jabber/si.c","320","25","320","31", "FALSE; There is an assign statement in the earlier if-condition, CodeQL do not realize it."
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/lib/json.c","287","17","287","32", "FALSE; This sink is used to append values to a string."
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/ipc.c","199","39","199","41", "FALSE; This sink will not be reachable if it is NULL (uninitialized), need path-sensitive analysis."
The variable [[""global""|""relative:///unix.c:52:10:52:15""]] is used in this function but may not be initialized when it is called.","/bitlbee.c","72","5","72","23", "FALSE; This variable is a global_t type."
"Returned pointer not checked","Dereferencing an untested value from a function that can return null may lead to undefined behavior.","recommendation","Value may be null; it should be checked before dereferencing.","/utils/bitlbeed.c","408","9","408","9", "FALSE; This sink will not been triggered by NULL."
"Variable not initialized before use","Using an uninitialized variable may lead to undefined results.","error","Variable 'bud' is not initialized.","/protocols/jabber/presence.c","110","33","110","35", "FALSE; bug is initialized in earlier if-condition. CodeQL missed it."
